,Code,Name,Close,ChangeCode,Changes,ChagesRatio,Amount,Marcap,Stocks,BPS,PER,PBR,EPS,DIV,DPS
110,175330,JB금융지주,13580,1,120,0.89,3433686910,2649229828840,195083198,26120,4.67,0.52,2907,6.3,855
111,383220,F&F,64900,2,-600,-0.92,6498779100,2486129167500,38307075,33834,5.82,1.92,11144,2.62,1700
112,088350,한화생명,2780,2,-35,-1.24,4694760140,2414513400000,868530000,17352,2.91,0.16,954,5.4,150
113,081660,휠라홀딩스,39700,1,800,2.06,2847599200,2411863213400,60752222,31752,55.99,1.25,709,2.75,1090
114,000120,CJ대한통운,104600,2,-600,-0.57,12876582700,2386171182400,22812344,180690,10.1,0.58,10357,0.48,500
115,012750,에스원,61700,1,400,0.65,3724583632,2344549282600,37999178,47260,11.01,1.31,5604,4.38,2700
116,028670,팬오션,4350,1,10,0.23,6256328715,2325377377200,534569512,8817,9.5,0.49,458,1.95,85
117,020150,롯데에너지머티리얼즈,48900,1,4150,9.27,62934107100,2254819831500,46110835,31088,0.0,1.57,0,0.41,200
118,008770,호텔신라,56200,2,-600,-1.06,13990180500,2205744400200,39248121,16074,24.76,3.5,2270,0.36,200
119,030000,제일기획,18610,2,-20,-0.11,3308387780,2140917197250,115041225,12703,10.06,1.47,1849,5.96,1110
120,112610,씨에스윈드,50400,2,-2100,-4.0,17997666100,2125438711200,42171403,21647,105.0,2.33,480,0.99,500
121,008930,한미사이언스,30700,2,-400,-1.29,5035593100,2099620585000,68391550,11621,18.12,2.64,1694,0.65,200
122,073240,금호타이어,7230,2,-90,-1.23,2747108830,2076891875010,287260287,4401,13.17,1.64,549,0.0,0
123,282330,BGF리테일,118300,2,-300,-0.25,2711407800,2044686079800,17283906,62197,10.43,1.9,11337,3.47,4100
124,007070,GS리테일,19500,2,-470,-2.35,4111477790,2041999479000,104717922,39235,112.72,0.5,173,2.56,500
125,014680,한솔케미칼,177100,2,-4700,-2.59,7132410300,2007463034500,11335195,77725,18.29,2.28,9684,1.19,2100
126,000880,한화,26700,1,450,1.71,5131769750,2001398224500,74958735,111503,6.81,0.24,3920,2.81,750
127,204320,HL만도,42050,2,-1100,-2.55,16708186100,1974546896000,46957120,47505,14.55,0.89,2890,1.43,600
128,009420,한올바이오파마,36650,1,1700,4.86,23822357500,1914619382700,52240638,3673,531.16,9.98,69,0.0,0
129,192820,코스맥스,166200,1,2700,1.65,22759353100,1886288395800,11349509,31952,33.0,5.2,5036,0.3,500
130,010060,OCI홀딩스,95800,2,-2900,-2.94,8585575100,1874229571400,19563983,190202,2.62,0.5,36540,3.44,3300
131,023530,롯데쇼핑,65600,2,-300,-0.46,4468601900,1855742328000,28288755,335809,11.32,0.2,5794,5.79,3800
132,026960,동서,18580,1,30,0.16,1405832350,1852426000000,99700000,16296,12.66,1.14,1468,4.2,780
133,103140,풍산,65500,1,100,0.15,28560324000,1835590209000,28024278,71975,11.44,0.91,5727,1.83,1200
134,007310,오뚜기,457000,2,-3500,-0.76,4478539500,1831578310000,4007830,562474,9.8,0.81,46617,1.97,9000
135,000990,DB하이텍,40450,2,-400,-0.98,11915614200,1795922884600,44398588,41655,6.48,0.97,6241,1.43,580
136,139480,이마트,61500,2,-1400,-2.23,10720743900,1714362868500,27875819,427553,0.0,0.14,0,3.25,2000
137,042670,HD현대인프라코어,8460,2,-10,-0.12,14907422600,1688645212380,199603453,9097,7.3,0.93,1159,1.3,110
138,005850,에스엘,35800,1,1200,3.47,9233216300,1662857016000,46448520,41872,4.91,0.85,7285,2.51,900
139,051600,한전KPS,36550,2,-1100,-2.92,10659736550,1644750000000,45000000,28280,10.11,1.29,3615,5.9,2158
140,298020,효성티앤씨,376500,2,-12500,-3.21,13542461500,1629372273000,4327682,295349,17.43,1.27,21595,2.66,10000
141,298050,효성첨단소재,359500,2,-6500,-1.78,8929543000,1610541306000,4479948,151670,45.18,2.37,7957,1.81,6500
142,336260,두산퓨얼셀,24500,2,-1650,-6.31,42568907300,1604596287000,65493726,6265,0.0,3.91,0,0.0,0
